feature,importance
cat__customerID_1120-BMWUB,0.00012300122358748755
cat__customerID_4789-KWMXN,0.00012287528873850554
cat__customerID_0991-BRRFB,0.00012214469024391677
cat__customerID_6680-NENYN,0.00012193064674764962
cat__customerID_0156-FVPTA,0.00012181589291382271
cat__customerID_9057-MSWCO,0.00012124841271861246
cat__customerID_4195-SMMNX,0.00012111761777329244
cat__customerID_0883-EIBTI,0.00012111069252715338
cat__customerID_4710-FDUIZ,0.00012043294678335332
cat__customerID_5624-BQSSA,0.00012033556932389875
cat__customerID_0426-TIRNE,0.00012025769869942121
cat__customerID_7434-SHXLS,0.00012025769869942121
cat__customerID_6839-ITVZJ,0.0001202477097701846
cat__customerID_1699-HPSBG,0.00011975468885624835
cat__customerID_2002-MZHWP,0.00011970337017972162
cat__customerID_4250-ZBWLV,0.00011967418889296891
cat__customerID_0639-TSIQW,0.00011888228714977507
cat__customerID_3900-AQPHZ,0.00011887304789430103
cat__customerID_8329-IBCTI,0.00011851900167580677
cat__customerID_5049-GLYVG,0.0001184687329207722
cat__customerID_1625-JAIIY,0.00011837395604453561
cat__customerID_4745-LSPLO,0.0001183304164382012
cat__customerID_7551-JOHTI,0.00011832033875815893
cat__customerID_1193-RTSLK,0.00011829592094575772
cat__customerID_1349-WXNGG,0.00011806803661362611
cat__customerID_4786-UKSNZ,0.00011791572086554801
cat__customerID_1066-JKSGK,0.00011783813691153984
cat__customerID_1934-SJVJK,0.00011783813691153984
cat__customerID_3148-BLQJT,0.00011777757572385869
cat__customerID_4877-EVATK,0.00011763947498259388
cat__customerID_6615-ZGEDR,0.00011722544539239093
cat__customerID_8945-MUQUF,0.0001171646175599241
cat__customerID_6141-OOXUQ,0.00011714798277691403
cat__customerID_1029-QFBEN,0.00011702708462068206
cat__customerID_0617-FHSGK,0.0001163806546902365
cat__customerID_7530-HDYDS,0.00011635482988193076
cat__customerID_3815-SLMEF,0.00011622075229119223
cat__customerID_6097-EQISJ,0.00011612617609541981
cat__customerID_7854-EDSSA,0.0001160976386650656
cat__customerID_3886-CERTZ,0.00011529578763038375
cat__customerID_1041-RXHRA,0.00011516563510625405
cat__customerID_0568-ONFPC,0.000115104404816803
cat__customerID_3230-WYKIR,0.00011505248552206512
cat__customerID_4913-EHYUI,0.00011485917251636912
cat__customerID_4979-HPRFL,0.00011484468302740386
cat__customerID_6686-YPGHK,0.00011469139028136341
cat__customerID_8722-NGNBH,0.00011432976054185342
cat__customerID_0877-SDMBN,0.00011430689468766057
cat__customerID_7716-YTYHG,0.00011430538710219392
cat__customerID_3030-YZADT,0.00011418220058310193
cat__customerID_3927-NLNRY,0.00011408637633364664
cat__customerID_6425-YQLLO,0.00011392041074481542
cat__customerID_1113-IUJYX,0.00011371857643932093
cat__customerID_6345-ULYRW,0.00011363886116209888
cat__customerID_3870-MQAMG,0.00011349439784804983
cat__customerID_4925-LMHOK,0.00011312577927796435
cat__customerID_0268-QKIWO,0.00011304874466883246
cat__customerID_9360-AHGNL,0.00011295289894468247
cat__customerID_4255-DDUOU,0.0001127046249633532
cat__customerID_1449-XQEMT,0.00011267223142926655
cat__customerID_7853-GVUDZ,0.00011255697445668105
cat__customerID_0691-JVSYA,0.00011226470381148436
cat__customerID_0807-ZABDG,0.00011199126325744237
cat__customerID_1725-MIMXW,0.00011196005696629043
cat__customerID_5708-EVONK,0.0001118450996209563
cat__customerID_8205-OTCHB,0.00011143317745498669
cat__customerID_1591-NFNLQ,0.00011107626469673841
cat__customerID_5028-HTLJB,0.00011057022945438542
cat__customerID_2153-MREFK,0.00011056597369345563
cat__customerID_1984-FCOWB,0.00011047095035632661
cat__customerID_0520-FDVVT,0.0001104132652996234
cat__customerID_3842-IYKUE,0.00011032481534696156
cat__customerID_7694-VLBWQ,0.0001102338518224042
cat__customerID_5180-UCIIQ,0.00011022108599633322
cat__customerID_3714-JTVOV,0.00011001281814316658
cat__customerID_1131-QQZEB,0.00010989769465241336
cat__customerID_0618-XWMSS,0.00010968373323339842
cat__customerID_7683-CBDKJ,0.00010954434062375958
cat__customerID_4628-CTTLA,0.00010875690625292818
cat__customerID_4390-KYULV,0.00010847280136346197
cat__customerID_4628-WQCQQ,0.0001084232600911711
cat__customerID_2898-LSJGD,0.00010785646124472379
cat__customerID_2219-MVUSO,0.00010709207149152057
cat__customerID_3763-GCZHZ,0.00010705439106209718
cat__customerID_2684-EIWEO,0.00010694271897273869
cat__customerID_7133-VBDCG,0.0001064035316744814
cat__customerID_8444-WRIDW,0.00010629701498027826
cat__customerID_8679-JOEVF,0.00010612370367219202
cat__customerID_1324-NLTJE,0.00010610151705141272
cat__customerID_2834-SPCJV,0.0001059013752638217
cat__customerID_6179-GJPSO,0.00010570346331252131
cat__customerID_5136-KCKGI,0.00010547609091254738
cat__customerID_9518-RWHZL,0.00010524043779290807
cat__customerID_0471-LVHGK,0.00010484968221206613
cat__customerID_2239-JALAW,0.00010480420531877211
cat__customerID_2810-FTLEM,0.00010445988174343345
cat__customerID_9835-ZIITK,0.00010444971846575243
cat__customerID_8073-IJDCM,0.00010425699934127922
cat__customerID_2382-BCKQJ,0.00010420696590506089
cat__customerID_2876-VBBBL,0.00010418137946618116
cat__customerID_2408-TZMJL,0.00010415049743859869
cat__customerID_7839-QRKXN,0.00010412228208437997
cat__customerID_4897-QSUYC,0.00010404670237862134
cat__customerID_2235-ZGKPT,0.00010372710910151055
cat__customerID_4800-VHZKI,0.0001037185818964568
cat__customerID_1228-FZFRV,0.00010366279794504283
cat__customerID_6397-JNZZG,0.00010359329454859788
cat__customerID_4588-YBNIB,0.00010331557096061937
cat__customerID_5287-QWLKY,0.00010318470430112657
cat__customerID_8267-ZNYVZ,0.0001031845881541249
cat__customerID_3445-HXXGF,0.00010309321862848909
cat__customerID_8305-VHZBZ,0.0001027984326510588
cat__customerID_8919-FYFQZ,0.0001027717564712624
cat__customerID_0461-CVKMU,0.00010273502525495476
cat__customerID_1000-AJSLD,0.00010266426783006502
cat__customerID_6121-VZNQB,0.0001026454587919967
cat__customerID_5073-WXOYN,0.00010258884450237984
cat__customerID_4558-FANTW,0.00010237548967707715
cat__customerID_7016-BPGEU,0.00010205324586788374
cat__customerID_3859-CVCET,0.00010204531527128106
cat__customerID_9572-MTILT,0.00010202770908213364
cat__customerID_7989-CHGTL,0.00010199463088018366
cat__customerID_2911-UREFD,0.00010183015994420169
cat__customerID_0761-AETCS,0.00010170790374319548
cat__customerID_8901-HJXTF,0.00010167875237881199
cat__customerID_4791-QRGMF,0.00010163793780127026
cat__customerID_1450-SKCVI,0.00010135227404929895
cat__customerID_7551-DACSP,0.00010129409378121024
cat__customerID_5143-WMWOG,0.00010126799959799343
cat__customerID_6207-WIOLX,0.00010124078691047393
cat__customerID_1899-VXWXM,0.00010117164864712196
cat__customerID_7549-MYGPK,0.00010105194545264172
cat__customerID_9318-NKNFC,0.0001010021823883837
cat__customerID_3683-QKIUE,0.00010081962687597647
cat__customerID_7963-GQRMY,0.00010081482014829917
cat__customerID_2886-KEFUM,0.00010017382712586013
cat__customerID_3685-YLCMQ,0.000100113871463388
cat__customerID_7730-IUTDZ,9.944989371833448e-05
cat__customerID_4081-DYXAV,9.939751079316517e-05
cat__customerID_4592-IWTJI,9.921896226187367e-05
cat__customerID_0420-BWTPW,9.880811127015968e-05
cat__customerID_2817-NTQDO,9.872301699248322e-05
cat__customerID_3656-TKRVZ,9.830839743498596e-05
cat__customerID_2957-LOLHO,9.828788045165318e-05
cat__customerID_9948-YPTDG,9.802072168736628e-05
cat__customerID_9614-RMGHA,9.784430758769382e-05
cat__customerID_0406-BPDVR,9.77027627953842e-05
cat__customerID_0643-OKLRP,9.768645310444334e-05
cat__customerID_2115-BFTIW,9.761240691628809e-05
cat__customerID_6599-CEBNN,9.735087458672063e-05
cat__customerID_6410-LEFEN,9.713423264725683e-05
cat__customerID_8651-ENBZX,9.693534898505766e-05
cat__customerID_2003-CKLOR,9.683764182900189e-05
cat__customerID_0843-WTBXE,9.668110546349217e-05
cat__customerID_3707-LRWZD,9.659009379174624e-05
cat__customerID_6986-IJDHX,9.655951984839539e-05
cat__customerID_1871-MOWRM,9.652417330295415e-05
cat__customerID_4720-VSTSI,9.6341788929864e-05
cat__customerID_3419-SNJJD,9.622472084073142e-05
cat__customerID_8775-CEBBJ,9.616514669539521e-05
cat__customerID_6982-UQZLY,9.610283148870911e-05
cat__customerID_7459-RRWQZ,9.607545319577914e-05
cat__customerID_5649-TJHOV,9.593643810083803e-05
cat__customerID_2320-JRSDE,9.581096111418079e-05
cat__customerID_8387-MOJJT,9.579175834400912e-05
cat__customerID_8257-RZAHR,9.570908815610347e-05
cat__customerID_1213-NGCUN,9.556906048760411e-05
cat__customerID_2947-DOMLJ,9.542180045767503e-05
cat__customerID_7580-UGXNC,9.537081057599603e-05
cat__customerID_3580-REOAC,9.512877155769904e-05
cat__customerID_4958-GZWIY,9.506921161134495e-05
cat__customerID_4080-OGPJL,9.506419910157481e-05
cat__customerID_3424-NMNBO,9.475446590955807e-05
cat__customerID_7593-JNWRU,9.47237861797958e-05
cat__customerID_2157-MXBJS,9.428864557982959e-05
cat__customerID_6641-XRPSU,9.426964101364509e-05
cat__customerID_2433-KMEAS,9.383412723488198e-05
cat__customerID_4831-EOBFE,9.364421711667896e-05
cat__customerID_6173-ITPWD,9.339504372879991e-05
cat__customerID_2403-BCASL,9.328316462354905e-05
cat__customerID_1596-BBVTG,9.278022045598882e-05
cat__customerID_8399-YNDCH,9.273991277757195e-05
cat__customerID_8773-HHUOZ,9.245781821650572e-05
cat__customerID_1432-FPAXX,9.23493335434522e-05
cat__customerID_4088-YLDSU,9.226437436864585e-05
cat__customerID_4612-THJBS,9.208162203181923e-05
cat__customerID_1396-QWFBJ,9.191834230896489e-05
cat__customerID_5154-VEKBL,9.183033159454721e-05
cat__customerID_8824-RWFXJ,9.164017868845087e-05
cat__customerID_4554-YGZIH,9.122942172703573e-05
cat__customerID_3426-NIYYL,9.10890154263728e-05
cat__customerID_8761-NSOBC,9.106214348755118e-05
cat__customerID_9940-HPQPG,9.094394602831646e-05
cat__customerID_9153-BTBVV,9.06088168108135e-05
cat__customerID_6818-WOBHJ,9.060557375324189e-05
cat__customerID_3164-AALRN,9.028342322401955e-05
cat__customerID_7577-SWIFR,9.024800492266574e-05
cat__customerID_4307-KTUMW,9.004737940003784e-05
cat__customerID_2011-TRQYE,9.004279819348318e-05
cat__customerID_4912-PIGUY,8.978647321217842e-05
cat__customerID_2027-OAQQC,8.977449589983496e-05
cat__customerID_1142-WACZW,8.948588279771992e-05
cat__customerID_3489-HHPFY,8.939280636970384e-05
cat__customerID_0260-ZDLGK,8.928771473108187e-05
cat__customerID_8229-TNIQA,8.921326303155245e-05
cat__customerID_3737-GCSPV,8.90460935274684e-05
cat__customerID_1941-HOSAM,8.903921351262568e-05
cat__customerID_0587-DMGBH,8.890720131710088e-05
cat__customerID_6439-GTPCA,8.88700307124574e-05
cat__customerID_4273-MBHYA,8.866313661896805e-05
cat__customerID_4183-WCSEP,8.85909268796703e-05
cat__customerID_0021-IKXGC,8.858801597756537e-05
cat__customerID_7743-EXURX,8.857873687300764e-05
cat__customerID_3945-GFWQL,8.85632233090067e-05
cat__customerID_5175-AOBHI,8.853576260255479e-05
cat__customerID_1644-IRKSF,8.85116434165778e-05
cat__customerID_0596-BQCEQ,8.847751042130634e-05
cat__customerID_3058-HJCUY,8.844780854113212e-05
cat__customerID_3521-SYVOR,8.839919712811074e-05
cat__customerID_1393-IMKZG,8.837730078527045e-05
cat__customerID_7248-VZQLC,8.83526013886433e-05
cat__customerID_7927-AUXBZ,8.826022802477529e-05
cat__customerID_5707-ORNDZ,8.822710720941575e-05
cat__customerID_3668-QPYBK,8.805638591495841e-05
cat__customerID_0257-ZESQC,8.802144751264816e-05
cat__customerID_5027-XWQHA,8.777199381394571e-05
cat__customerID_4918-QLLIW,8.740686653876511e-05
cat__customerID_2929-QNSRW,8.719252888179037e-05
cat__customerID_4566-GOLUK,8.714384006073513e-05
cat__customerID_1452-VOQCH,8.709194317403224e-05
cat__customerID_7439-DKZTW,8.703751548307459e-05
cat__customerID_9170-CCKOU,8.696542929505007e-05
cat__customerID_0691-IFBQW,8.678479468352001e-05
cat__customerID_0107-WESLM,8.672902665796536e-05
cat__customerID_6172-FECYY,8.660203638185855e-05
cat__customerID_1862-SKORY,8.602139421208388e-05
cat__customerID_3009-JWMPU,8.60174573038385e-05
cat__customerID_5649-VUKMC,8.58496477811392e-05
cat__customerID_4929-XIHVW,8.57459491171953e-05
cat__customerID_2460-FPSYH,8.574508719208062e-05
cat__customerID_2018-QKYGT,8.570113257264055e-05
cat__customerID_1750-CSKKM,8.550142859931089e-05
cat__customerID_5493-SDRDQ,8.516249789162742e-05
cat__customerID_2189-UXTKY,8.507767289298821e-05
cat__customerID_0032-PGELS,8.501982758868295e-05
cat__customerID_2302-ANTDP,8.498647157828824e-05
cat__customerID_4361-BKAXE,8.496800626042476e-05
cat__customerID_9603-OAIHC,8.491420133368885e-05
cat__customerID_2718-GAXQD,8.480914738192393e-05
cat__customerID_3194-ORPIK,8.477690050540817e-05
cat__customerID_9158-VCTQB,8.468073653645151e-05
cat__customerID_2873-ZLIWT,8.465092904719276e-05
